"","term"
"1","subject"
"2","enron"
"3","cc"
"4","pm"
"5","please"
"6","2001"
"7","forward"
"8","thanks"
"9","ect"
"10","know"
"11","com"
"12","hou"
"13","get"
"14","would"
"15","sent"
"16","2000"
"17","10"
"18","message"
"19","need"
"20","time"
"21","call"
"22","11"
"23","let"
"24","jeff"
"25","corp"
"26","attach"
"27","re"
"28","original"
"29","mark"
"30","12"
"31","make"
"32","may"
"33","work"
"34","also"
"35","go"
"36","date"
"37","one"
"38","like"
"39","see"
"40","question"
"41","sara"
"42","fax"
"43","send"
"44","713"
"45","want"
"46","new"
"47","regard"
"48","best"
"49","think"
"50","agreement"
"51","week"
"52","follow"
"53","receive"
"54","could"
"55","30"
"56","use"
"57","shackleton"
"58","houston"
"59","mail"
"60","issue"
"61","change"
"62","copy"
"63","take"
"64","information"
"65","853"
"66","group"
"67","jones"
"68","give"
"69","day"
"70","look"
"71","well"
"72","credit"
"73","power"
"74","meeting"
"75","list"
"76","legal"
"77","review"
"78","contact"
"79","na"
"80","dasovich"
"81","john"
"82","provide"
"83","include"
"84","back"
"85","office"
"86","energy"
"87","today"
"88","taylor"
"89","last"
"90","david"
"91","phone"
"92","tana"
"93","note"
"94","company"
"95","service"
"96","monday"
"97","email"
"98","friday"
"99","america"
"100","susan"
"101","number"
"102","thank"
"103","contract"
"104","request"
"105","say"
"106","im"
"107","help"
"108","next"
"109","dont"
"110","detail"
"111","team"
"112","ask"
"113","business"
"114","646"
"115","two"
"116","north"
"117","comment"
"118","trade"
"119","trading"
"120","smith"
"121","schedule"
"122","good"
"123","thursday"
"124","plan"
"125","name"
"126","15"
"127","first"
"128","market"
"129","20"
"130","gas"
"131","file"
"132","year"
"133","come"
"134","deal"
"135","find"
"136","try"
"137","wednesday"
"138","still"
"139","tuesday"
"140","price"
"141","street"
"142","financial"
"143","meet"
"144","state"
"145","talk"
"146","place"
"147","california"
"148","much"
"149","scott"
"150","since"
"151","people"
"152","late"
"153","bill"
"154","report"
"155","sure"
"156","document"
"157","draft"
"158","paul"
"159","master"
"160","set"
"161","counterparty"
"162","transaction"
"163","ill"
"164","way"
"165","14"
"166","end"
"167","16"
"168","form"
"169","october"
"170","13"
